benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,f1
GPS_benchmark,serotype_exact,PneumoKITy,33B,1,0,3,3864,4,0.25,1,1,0.4
GPS_benchmark,serotype_exact,PneumoKITy,33D,0,0,9,3859,9,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,33F,0,0,78,3790,78,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,34,52,0,0,3816,52,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,35B,0,0,66,3802,66,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,35C,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,35D,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,35F,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,37,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,38,47,0,14,3807,61,0.7704918032786885,1,1,0.8703703703703703
GPS_benchmark,serotype_exact,PneumoKITy,39,1,0,0,3867,1,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,4,96,0,0,3772,96,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,40,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,45,3,0,0,3865,3,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,46,0,0,9,3859,9,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,48,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,5,123,0,1,3744,124,0.9919354838709677,1,1,0.9959514170040485
GPS_benchmark,serotype_exact,PneumoKITy,6A,0,0,108,3760,108,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,6B,0,0,125,3743,125,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,6C,0,0,49,3819,49,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,6D,0,0,4,3864,4,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,6E,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,7B,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,7C,63,0,0,3805,63,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,7F,0,0,66,3802,66,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,8,450,0,0,3418,450,1,1,1,1
GPS_benchmark,serotype_exact,PneumoKITy,9L,0,0,11,3857,11,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,9N,0,0,127,3741,127,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoKITy,9V,0,0,70,3798,70,0,1,NA,NA
GPS_benchmark,serotype_exact,Pneumo-Typer,1,230,0,0,3638,230,1,1,1,1
