Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
34,16,700,0,3950,16,1,0.8494623655913979,0.0223463687150838,0.8499785683669095,0.04371584699453552,0.27983539094650206,500
35A,1,686,0,3900,1,1,0.85041430440471,0.001455604075691412,0.8504469151951166,0.0029069767441860465,0.02418207681365576,500
35B,4,630,1,4011,5,0.8,0.8642533936651584,0.006309148264984227,0.8641842445114076,0.012519561815336464,0.09523809523809525,500
35B-35D,0,891,0,3711,0,0,0.8063885267275098,0,0.8063885267275098,0,0,500
35C,0,620,0,4042,0,0,0.867009867009867,0,0.867009867009867,0,0,500
35D,1,757,3,3827,4,0.25,0.8348603839441536,0.0013192612137203166,0.8343504795117699,0.0026246719160104982,0.02068126520681265,500
35F,5,705,0,4016,5,1,0.850667231518746,0.007042253521126761,0.8508252221752011,0.013986013986013986,0.10759493670886076,500
36,0,755,0,3854,0,0,0.8361900629203732,0,0.8361900629203732,0,0,500
37,1,616,1,4057,2,0.5,0.8681789000641986,0.0016207455429497568,0.8680213903743316,0.003231017770597738,0.026194144838212637,500
38,1,792,0,3787,1,1,0.8270364708451627,0.0012610340479192938,0.8270742358078602,0.0025188916876574307,0.021013597033374538,500
39,1,714,0,3873,1,1,0.8443427076520602,0.0013986013986013986,0.8443766346992153,0.002793296089385475,0.023255813953488372,500
39X,0,658,0,3896,0,0,0.8555116381203338,0,0.8555116381203338,0,0,500
4,41,666,7,3978,48,0.8541666666666666,0.8565891472868217,0.05799151343705799,0.8565643648763853,0.10860927152317881,0.4725423728813559,500
40,4,686,0,3803,4,1,0.8471820004455335,0.005797101449275362,0.8473180503004674,0.011527377521613834,0.09018567639257294,500
41F,0,633,0,4023,0,0,0.8640463917525774,0,0.8640463917525774,0,0,500
42,0,744,0,3838,0,0,0.8376254910519424,0,0.8376254910519424,0,0,500
45,0,700,0,3789,0,0,0.8440632657607485,0,0.8440632657607485,0,0,500
46,3,792,1,3890,4,0.75,0.8308415207176421,0.0037735849056603774,0.8307725138711054,0.007509386733416772,0.059371362048894066,500
48,0,637,1,4107,1,0,0.8657251264755481,0,0.8655426765015806,0,0,500
5,53,622,0,3788,53,1,0.8589569160997732,0.07851851851851852,0.8606318619762492,0.14560439560439561,0.5915955351280368,500
6A,17,954,105,3559,122,0.13934426229508196,0.7886106802570352,0.017507723995880537,0.7715210355987056,0.03110704483074108,0.09887102292165584,500
6B,57,714,29,3762,86,0.6627906976744186,0.8404825737265416,0.07392996108949416,0.8371328364752302,0.13302217036172695,0.4513274336283185,500
6C,9,600,24,3928,33,0.2727272727272727,0.8674911660777385,0.014778325123152709,0.863187897390923,0.02803738317757009,0.1345646437994723,500
6D,1,756,1,3781,2,0.5,0.8333700683270884,0.001321003963011889,0.833223176911214,0.0026350461133069825,0.021546261089987327,500
6E,0,544,2,4103,2,0,0.8829352270281903,0,0.8825553882555388,0,0,500
7B,5,831,0,3628,5,1,0.8136353442475891,0.005980861244019139,0.8138440860215054,0.011890606420927468,0.0927947598253275,500
7C,7,735,1,3933,8,0.875,0.8425449871465296,0.009433962264150943,0.8426005132591959,0.018666666666666668,0.1367816091954023,500
7F,44,664,2,3849,46,0.9565217391304348,0.8528694881453579,0.062146892655367235,0.8539153323097171,0.11671087533156499,0.518005540166205,500
8,258,677,3,3470,261,0.9885057471264368,0.8367494574391127,0.27593582887700535,0.8457350272232305,0.431438127090301,0.858149090197613,500
9A,0,642,0,3998,0,0,0.8616379310344827,0,0.8616379310344827,0,0,500
9L,7,915,5,3663,12,0.5833333333333334,0.8001310615989515,0.007592190889370932,0.7995642701525054,0.014989293361884367,0.10682226211849191,500
9N,5,665,2,3748,7,0.7142857142857143,0.8493088601858146,0.007462686567164179,0.8490950226244344,0.014771048744460856,0.10869565217391303,500
9V,53,674,0,3902,53,1,0.8527097902097902,0.07290233837689133,0.8543961978829121,0.1358974358974359,0.572063492063492,500
