benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
GPS benchmark,serotype_exact,ProkBERT,33B,2,5,2,3834,4,0.5,0.9986975774941391,0.2857142857142857,0.9981785063752276,0.36363636363636365
GPS benchmark,serotype_exact,ProkBERT,33D,8,27,1,3807,9,0.8888888888888888,0.9929577464788732,0.22857142857142856,0.9927140255009107,0.3636363636363636
GPS benchmark,serotype_exact,ProkBERT,33F,53,22,25,3743,78,0.6794871794871795,0.9941567065073041,0.7066666666666667,0.9877699713765288,0.6928104575163399
GPS benchmark,serotype_exact,ProkBERT,34,40,8,12,3783,52,0.7692307692307693,0.9978897388551833,0.8333333333333334,0.9947957325006506,0.8
GPS benchmark,serotype_exact,ProkBERT,35B,32,2,34,3775,66,0.48484848484848486,0.9994704792163093,0.9411764705882353,0.990632318501171,0.64
GPS benchmark,serotype_exact,ProkBERT,35C,1,12,0,3830,1,1,0.9968766267568975,0.07692307692307693,0.9968774395003903,0.14285714285714288
GPS benchmark,serotype_exact,ProkBERT,35D,2,25,0,3816,2,1,0.9934912783129394,0.07407407407407407,0.9934946656258131,0.13793103448275862
GPS benchmark,serotype_exact,ProkBERT,35F,4,3,0,3836,4,1,0.9992185464964835,0.5714285714285714,0.9992193598750976,0.7272727272727273
GPS benchmark,serotype_exact,ProkBERT,37,4,31,0,3808,4,1,0.9919249804636624,0.11428571428571428,0.9919333853760083,0.20512820512820512
GPS benchmark,serotype_exact,ProkBERT,38,35,1,26,3781,61,0.5737704918032787,0.9997355896351137,0.9722222222222222,0.9929742388758782,0.7216494845360824
GPS benchmark,serotype_exact,ProkBERT,39,1,0,0,3842,1,1,1,1,1,1
GPS benchmark,serotype_exact,ProkBERT,4,76,18,20,3729,96,0.7916666666666666,0.9951961569255404,0.8085106382978723,0.990111891751236,0.7999999999999999
GPS benchmark,serotype_exact,ProkBERT,40,1,2,0,3840,1,1,0.9994794377928162,0.3333333333333333,0.9994795732500651,0.5
GPS benchmark,serotype_exact,ProkBERT,45,3,13,0,3827,3,1,0.9966145833333333,0.1875,0.9966172261254228,0.3157894736842105
GPS benchmark,serotype_exact,ProkBERT,46,2,17,7,3817,9,0.2222222222222222,0.995565988523735,0.10526315789473684,0.9937548790007806,0.14285714285714285
