fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
12B,12B,12_44_46,54088,13,10,0.7402893290705744,0.7646371155837212,8.541345596313477e-05
12B,12B,12_44_46,54088,13,20,0.6834553092965311,0.7199229460821681,8.553266525268555e-05
12B,12B,12_44_46,54088,13,50,0.5949684559635011,0.6490569499277531,8.565187454223633e-05
12B,12B,12_44_46,54088,13,100,0.5580442981807425,0.666293817482621,0.0003790855407714844
12B,12B,12_44_46,54088,13,200,0.4930988531509904,0.6299918651087117,0.0013718605041503906
12B,12B,12_44_46,54088,13,500,0.387803209584381,0.5900014790711433,0.0024724602699279785
12B,12B,12_44_46,54088,13,1000,0.286893580831238,0.5416913178523888,0.002754390239715576
12F,12F,12_44_46,51261,67,1,0.9331380494379509,0.8743286843129702,0.007285952568054199
12F,12F,12_44_46,51261,67,5,0.8998770413165051,0.8523325317580179,0.03216695785522461
12F,12F,12_44_46,51261,67,10,0.9428383336434232,0.926717294314988,0.04184144735336304
12F,12F,12_44_46,51261,67,20,0.9285130501294663,0.9219484598427654,0.05991208553314209
12F,12F,12_44_46,51261,67,50,0.9275654559181619,0.9116677396071087,0.11990863084793091
12F,12F,12_44_46,51261,67,100,0.9441264445024833,0.896568541386239,0.1770908236503601
12F,12F,12_44_46,51261,67,200,0.9455717840830378,0.896734359454556,0.23995399475097656
12F,12F,12_44_46,51261,67,500,0.946054243326587,0.918014975744558,0.45904284715652466
12F,12F,12_44_46,51261,67,1000,0.8743315959559608,0.8305313137012893,0.5164130926132202
13,13,13,53550,41,1,0.9889098403589079,0.9754715219421102,0.02030932903289795
13,13,13,53550,41,5,0.9823606841110429,0.9728104575163399,0.10425937175750732
13,13,13,53550,41,10,0.9780706428913029,0.9612605042016806,0.11063510179519653
13,13,13,53550,41,20,0.9706451686365603,0.946125116713352,0.11711752414703369
13,13,13,53550,41,50,0.9592434697456219,0.9192250233426704,0.11812275648117065
13,13,13,53550,41,100,0.9462658559358703,0.8930999066293184,0.13652974367141724
13,13,13,53550,41,200,0.9320571155291385,0.8846275420737401,0.275942862033844
13,13,13,53550,41,500,0.9133925440094737,0.8933950490765412,0.39549553394317627
13,13,13,53550,41,1000,0.7863068479424289,0.7981401015690829,0.350322425365448
14,14,14,50719,75,1,0.950544634817984,0.9469921199813351,0.02068108320236206
14,14,14,50719,75,5,0.9532866710042917,0.935482692219221,0.03152519464492798
14,14,14,50719,75,10,0.9421568511471705,0.9265609863496258,0.05257004499435425
14,14,14,50719,75,20,0.9293767621601372,0.9056122294735044,0.05374974012374878
14,14,14,50719,75,50,0.9163067095171435,0.8737109695906202,0.06355899572372437
14,14,14,50719,75,100,0.9032659687033787,0.8611046484880749,0.14332664012908936
14,14,14,50719,75,200,0.8898857101546429,0.8527350039761562,0.200994610786438
14,14,14,50719,75,500,0.8876874544056469,0.8595668947205847,0.28670763969421387
14,14,14,50719,75,1000,0.7471602358090657,0.8050114026958997,0.3812572956085205
15A,15A,15,52809,46,1,0.9073482204532,0.911510266283662,0.008436739444732666
15A,15A,15,52809,46,5,0.8981563583941143,0.882064733695755,0.008436858654022217
15A,15A,15,52809,46,10,0.890213665819479,0.8795180251719281,0.014432311058044434
