fold,genogroup,n_novel,best_k,best_auroc,auroc_at_reference_k,reference_k,delta_vs_reference,best_bal_acc,best_bal_acc_k,best_bal_acc_threshold,deploy_k,deploy_threshold_percentile,deploy_threshold,deploy_tpr,deploy_tnr,deploy_bal_acc
10C,10,1,100,0.9905194877196873,0.9838849771765444,50,0.006634510543142902,0.9952597438598436,100,0.5540913343429565,5,99.0,0.3261411190032959,0.0,0.9899835523276228,0.4949917761638114
3,3,56,1,0.9953633795688899,0.9906040190003108,50,0.004759360568579063,0.992905138720422,20,0.3968721032142639,5,99.0,0.3315313458442688,0.9464285714285714,0.9899882554535128,0.968208413441042
11B,11,15,20,0.9884381801478522,0.9848941666820807,50,0.0035440134657714895,0.9677690842165622,20,0.2254907488822937,5,99.0,0.31476202607154846,0.7333333333333333,0.98999315613266,0.8616632447329966
33C,33C,4,100,0.9896778605356054,0.9862217457999889,50,0.0034561147356164668,0.9944277080599553,100,0.5450296401977539,5,99.0,0.3219451606273651,0.0,0.9899828118358068,0.4949914059179034
32F,32,2,1,0.9941413469357582,0.9909532786279294,50,0.0031880683078288063,0.9956291121460782,1,0.22137975692749023,5,99.0,0.340313583612442,0.5,0.9899829969690249,0.7449914984845125
17A,17A,4,1,0.9993392477589872,0.9962156917105629,50,0.003123556048424292,0.9995656593660476,1,0.37553709745407104,5,99.0,0.3350272476673126,1.0,0.9899824415488402,0.99499122077442
24A,Serogroup 24,13,10,0.8847106955994777,0.8827219679015367,50,0.0019887276979410062,0.8811159066919692,200,0.37201839685440063,5,99.0,0.33348336815834045,0.23076923076923078,0.9899951917742353,0.6103822112717331
39X,10D,1,100,0.9977267686848525,0.9962297626968286,50,0.0014970059880239361,0.9988633843424263,100,0.6131523251533508,5,99.0,0.32028254866600037,0.0,0.9899829969690249,0.49499149848451246
18C,18,43,50,0.9724788384000361,0.9724788384000361,50,0.0,0.9519423736974719,50,0.27776551246643066,5,99.0,0.3205631375312805,0.3488372093023256,0.9899839294390254,0.6694105693706754
15A,15,46,50,0.9343849492057925,0.9343849492057925,50,0.0,0.9253344909094052,50,0.18894600868225098,5,99.0,0.32745587825775146,0.021739130434782608,0.9899827680887727,0.5058609492617777
35B,35B_35D,37,50,0.9473987604818179,0.9473987604818179,50,0.0,0.9209769034005417,50,0.14967811107635498,5,99.0,0.32521411776542664,0.05405405405405406,0.9899939813421607,0.5220240176981074
22F,22,66,50,0.9685486973462085,0.9685486973462085,50,0.0,0.9530733705628877,50,0.24822628498077393,5,99.0,0.3255058825016022,0.3939393939393939,0.9899905315839308,0.6919649627616624
42,35A_35C_42,3,50,0.9918434735467336,0.9918434735467336,50,0.0,0.9924595253936571,50,0.45988380908966064,5,99.0,0.32717597484588623,0.0,0.9899829969690249,0.49499149848451246
6B,6,92,50,0.8867327384112279,0.8867327384112279,50,0.0,0.8547300140924534,200,0.24691790342330933,5,99.0,0.3161333203315735,0.10869565217391304,0.9899944413563091,0.5493450467651111
6D,6,18,50,0.8751661909546913,0.8751661909546913,50,0.0,0.877253980876995,10,0.003718554973602295,5,99.0,0.3249574303627014,0.0,0.9899946366814004,0.4949973183407002
9V,9,56,50,0.9548894517882306,0.9548894517882306,50,0.0,0.9379291082332416,200,0.3171437382698059,5,99.0,0.32719412446022034,0.23214285714285715,0.9899859088774072,0.6110643830101322
